Query;Run1;Run2;Run3;Run4;Scale Factor;Approach;Shape;Type;Considered
28;2652.0 ;3659.0 ;3576.0 ;3698.0 ;1;Schema;Acyclic;GPM;N
29;8513.0 ;9098.0  ;9110.0  ;9355.0 ;1;Schema;Cyclic;GPM;N
30;75195.0;89811.0;88601.0;84118.0;1;Schema;Acyclic;GPM;N
1;206448.0  ;210200.0  ;205147.0  ;206303.0  ;1;Non Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;1;Non Schema;Acyclic;GPM;N
3;0.0   ;0.0  ;0.0  ;0.0  ;1;Non Schema;Acyclic;GPM;N
4;7624.0 ;4484.0 ;5667.0 ;4396.0 ;1;Non Schema;Cyclic;GPM;N
5;2166.0  ;2762.0  ;2175.0  ;2240.0  ;1;Non Schema;Cyclic;GPM;N
6;0.0   ;0.0  ;0.0  ;0.0 ;1;Non Schema;Acyclic;GPM;N
7;10842.0 ;15247.0 ;10859.0 ;10999.0  ;1;Non Schema;Acyclic;GPM;Y
8;147911.0   ;241545.0  ;181847.0  ;171862.0  ;1;Non Schema;Acyclic;GN;Y
9;0.0   ;0.0  ;0.0  ;0.0  ;1;Non Schema;Cyclic;GN;N
10;693549.0 ;261778.0 ;260835.0 ;691922.0 ;1;Non Schema;Cyclic;GN;N
11;536197.0  ;246340.0  ;228416.0  ;631347.0  ;1;Non Schema;Acyclic;GN;N
12;0.0    ;0.0     ;0.0     ;0.0    ;1;Non Schema;Acyclic;GN;N
13;45861.0 ;33185.0 ;29942.0 ;54522.0 ;1;Non Schema;Acyclic;GN;Y
14;39400.0 ;33114.0 ;29963.0 ;46159.0 ;1;Non Schema;Acyclic;GN;Y
15;331949.0 ;382995.0 ;364696.0 ;385172.0 ;1;Non Schema;Acyclic;GN;N
16;60053.0 ;36258.0 ;35139.0 ;65697.0 ;1;Non Schema;Acyclic;GN;Y
17;2757.0 ;2881.0 ;2721.0 ;2780.0 ;1;Non Schema;Acyclic;GN;Y
18;1854.0 ;3186.0 ;2572.0 ;2019.0 ;1;Non Schema;Acyclic;GN;N
