Query	Time	Approach	Scale	UApproach
13	5.335	Schema	0.3	SysSS
14	0.25	Schema	0.3	SysSS
2	33.512	Schema	1.0	SysSS
3	0.193	Schema	1.0	SysSS
6	0.0	Schema	1.0	SysSS
7	0.068	Schema	1.0	SysSS
8	25.847	Schema	1.0	SysSS
9	0.124	Schema	1.0	SysSS
10	11.671	Schema	1.0	SysSS
12	0.793	Schema	1.0	SysSS
13	21.934	Schema	1.0	SysSS
14	0.802	Schema	1.0	SysSS
2	0.0	Schema	3.0	SysSS
3	0.0	Schema	3.0	SysSS
6	0.0	Schema	3.0	SysSS
7	0.0	Schema	3.0	SysSS
8	0.0	Schema	3.0	SysSS
9	0.0	Schema	3.0	SysSS
10	0.0	Schema	3.0	SysSS
12	0.0	Schema	3.0	SysSS
13	0.0	Schema	3.0	SysSS
14	0.0	Schema	3.0	SysSS
2	0.443	Baseline	0.1	SysSB
3	0.011	Baseline	0.1	SysSB
6	4.355	Baseline	0.1	SysSB
7	3.216	Baseline	0.1	SysSB
8	4.511	Baseline	0.1	SysSB
9	0.01	Baseline	0.1	SysSB
10	1.226	Baseline	0.1	SysSB
12	1.312	Baseline	0.1	SysSB
13	1.224	Baseline	0.1	SysSB
14	1.319	Baseline	0.1	SysSB
2	2.307	Baseline	0.3	SysSB
3	0.039	Baseline	0.3	SysSB
6	0.0	Baseline	0.3	SysSB
7	9.901	Baseline	0.3	SysSB
8	13.363	Baseline	0.3	SysSB
9	0.01	Baseline	0.3	SysSB
10	3.008	Baseline	0.3	SysSB
12	3.459	Baseline	0.3	SysSB
13	3.001	Baseline	0.3	SysSB
14	3.465	Baseline	0.3	SysSB
2	21.135	Baseline	1.0	SysSB
3	0.17	Baseline	1.0	SysSB
6	0.0	Baseline	1.0	SysSB
7	38.846	Baseline	1.0	SysSB
8	64.062	Baseline	1.0	SysSB
9	0.01	Baseline	1.0	SysSB
10	13.35	Baseline	1.0	SysSB
12	15.642	Baseline	1.0	SysSB
13	13.449	Baseline	1.0	SysSB
14	1800.0	Baseline	1.0	SysSB
2	0.0	Baseline	3.0	SysSB
3	0.0	Baseline	3.0	SysSB
6	0.0	Baseline	3.0	SysSB
7	0.0	Baseline	3.0	SysSB
8	0.0	Baseline	3.0	SysSB
9	0.0	Baseline	3.0	SysSB
10	0.0	Baseline	3.0	SysSB
12	0.0	Baseline	3.0	SysSB
13	0.0	Baseline	3.0	SysSB
14	0.0	Baseline	3.0	SysSB
